,Paper,year,category,Definition of Cyber-Bullyning,Type of Cyber-bullying,Dataset,Dataset positive sample,Dataset negative sample,Data Downlaoded,Data Collection process,Oversampleing pst instances,Preprocessing,Text Feature,Psycological features,User info features,Sentiment features,WE,Other features,ML model,Deel Learning model,Innovative model,baselines,Test set,Test positive ex.,Test negative ex.,Accuracy,Precision,Recall,AUC,F1,venue,Comments
6,you too?! mixed-initiative lda story matching to help teens in distress,2011,0,when a bully assult their victim over the internet by sending or posting text or images in different media with the intentin to hurt or embarrass another person.,gender bullying,"twitter_ traning (5000)
",25%,75%,0.0,"(Training) Twitter aPI using keywords Gay Homo Dike and Queer
(Test) Twitter api handlabelled and AMT used",0,1,BOW,0,0,1,0,0,NB,0,0,0,twitter_test (960),0,0,0.673,0,0,0,0,NSDI journal,they do cb detection in form of sentiment classififcation
18,Sentiment analysis for effective detection of cyber bullying,2012,cyber-Bullyiing detetction,0,0,"kongregate (4,802)
slashdot (4,303)
myspace (1,946)
twitter (4865) data from CAW 2","kongregate (42)
slashdot (60)
myspace (65)
Twitter 93 (2%)","kongregate (4760)
slashdot (4243)
myspace (1881)
Twitter 4700 (98%)",0.0,Twitter data is from CAW2 and the rest borrowed from othe researchers,0,0,BOW,0,0,1,0,0,SVM,0,Graph model to detct bullyies and victims,0,0,0,0,"(message classification)0.97
(user classification 1)",0,0,0,0,Asia-Pacific Web Conference,I do not trust the results as they used acciracy which might reflect the TN which is overwhelming in the dataset
22,Learning from bullying traces in social media,2012,cyber-Bullyiing detetction,0,0,Twitter(1762),684(39%),"1,078(61%)",0.0,5 experienced annotators,0,twitter related preprocessing,unigrams and bigrams and POS,0,0,0,0,0,SVM NB LR  ,0,0,0,262,0,0,0.813,0,0,0,0,the association for computational linguistics: Human language technologies,0
31,Aggressive Text Detection for Cyberbullying,2014,Cyber-Bullyiing detetction,the continuous intentional aggression over an indefense victim via electronic media is known as cyberbullying,aggressive text detection,"Twitter(12,705)","bitch (281)
fuck(110_",0,0.0,0,data set filtered,0,"document length,
number of offensive words,
frequency of word ""you"",
swear words",0,0,"1-The overall affective value for a given word (as well as the value for each of
the differentials) lies within the range [1, 9], where 9 is the closest to happiness.
2-SentiWordNet assigns each synset three classifications with respect to confidence
negativity, positivity, and objectivity",0,0,"Fuzzy Rulebases,
LR
",0,0,0,0,0,0,AVG MSE = 4.8,0,0,0,0,MICAI 2014,statistical analysis more than feature engineering or model selecion
33,detecting online harassment in social networks,2014,online harassment,the process of sending messages over electronic media to casue psychological harm to a victim. If it persists then it is cyber bullying.,online harassment,"Twitter_general (5382)
Twitter_school (2793)
","Twitter_general (220 - 4%)
Twitter_school (194 - 7.4%)","Twitter_general (5162 - 96%)
Twitter_school (2599 - 92.6%)",0.0,Twitter API and annotated by 3 annotators. Twitter_school used school related keywords,0,"POS
noise (misspelling slang and abbreviations) removal
Twitter preprocessing",BOW,0,0,0,0,person identification - mark words or phrases that refer to a person using POS and usernames,NB,0,0,0,0,0,0,0,0.94,0.32,0,0.48,International Conference on Information Systems 2014,0
34,Cyber bullying detection using social and textual analysis,2014,Cyber-Bullyiing detetction,"the use of information technology to harm or harass other people in a deliberate, repeated and hostile manner",0,"Twitter(4865 meassges, 2150 conversations)",Twitter(91 – 1.8%),Twitter(4774 – 99%),0.0,labelled by 3 students,SMOTE method to mitigate the imbalance,0,"no. profane words
Ratio of uppercase letters
No exclamation marks
No smilies
POS
",0,"network features:no. Nodes
No edges
Degree of centerality
Edge between centrality
Links
Sharing score
",0,0,0,"J48,NB,SMO,Bagging and Dagging",0,0,0,30% of training,0,0,0,0,0,0.755,0,International Workshop on Socially-Aware Multimedia,0
41,Collaborative detection of cyberbullying behavior in Twitter data,2015,Cyber-Bullyiing detetction,"use of information technoogy to harm or harass other people in 
a deliberate repeatedand hostile manner",0,"Twitter (340)
Twitter (1340)","Twitter (170)
Twitter (177)","Twitter (170)
Twitter (1163)",0.0,downloaded and labelled by them,0,0,"1gram
2gram
BOW",0,0,0,0,0,"NB
LR
SVM",0,multiclassification,0,0,0,0,0,0,0,0,0,international conference on electro/information technology (EIT),it is weired setup with hetrogenious nad homogenious classification
47,"Hateful Symbols or Hateful People?
Predictive Features for Hate Speech Detection on Twitter",2016,Cyber-Bullyiing detetction,"they define hate speech as negating the privileages of white people listed in (McIntosh (2003))
They provide a list of 12 charcteristics that describe hate speech  and compared against each tweet to label them",hate speech: racism and sexism,"Twitter collected over 2 months
16,014 labelled","3,383 (21% - sexist sent by 612 users)
1,972 (12% - rascist sent by 9 users)","11,559 (72%)",1.0,"Crawled  from Twitter piblic API by using keywords like “MKR”, “asian drive”, “feminazi”,
“immigrant”, “nigger”, “sjw”, “WomenAgainstFeminism”,
“blameonenotall”, “islam terrorism”, “notallmen”,
“victimcard”, “victim card”, “arab terror”, “gamergate”,
“jsi",0,0,character n-gram,0,"1-gender
2-location
3-length of user's desc.",0,0,"1-most frquent words in racist anf sexist tweets.
2- avg and total length of tweets
",logistic regression,0,0,0,0,0,0,0,72.93,77.74,0,73.93,Association for Computational Linguistics 2016,"1- Feature engineering.
2-We find that using character n-grams of
lengths up to 4, along with gender as an additional
feature provides the best results.
3-location and length as features made the score worse."
49,Are You a Racist or Am I Seeing Things? Annotator Influence on Hate Speech Detection on Twitter,2016,Cyber-Bullyiing detetction,0,racism and sexism,"Twitter (6,909)",0,0,0.0,labelled by experts and amatures on CrowdFlower platform,0,0,"POS, unigrams, characer ngram, token ngrm, 
word length, brown cluster",0,"gender
user's history of words",0,skipgrams,0,0,0,0,0,0,0,0,0,0,0,0,0,EMNLP 2016,"We find that amateur annotators are more
likely than expert annotators to label items as
hate speech, and that systems trained on expert annotations outperform systems trained
on amateur annotations."
50,Automatic detection of cyberbullying on social networks based on bullying features,2016,Cyber-Bullyiing detetction,0,0,Twitter (1762),685,1078,1.0,"tweets crwled from public twitter api using these words bullying, bullyied and bully.",0,0,Tfidf BOW,0,0,0,EBOW: bullying features word embeddings,LSA,SVM + EBOW,0,"concatenating BOW + LSA + woed embeddings for 
bullying extentded seed words.","BOW, LSA, semantic BOW, LDA ",5 folds,0,0,0,76.8,79.4,0,78,ICDCN ’16,innovaion in feaure representaion
